id,lat,lon,user,uid,version,changeset,timestamp
122574966,33.7328043,-117.7668627,SJFriedl,2709708,7,35291818,2015-11-13T19:30:58Z
122575549,33.7807818,-117.8829614,Evanator,451067,4,11474865,2012-05-01T22:03:34Z
122575644,33.5846825,-117.7090299,AM909,82317,5,5119613,2010-07-01T10:49:54Z
122575694,33.5835315,-117.7094887,woodpeck_fixbot,147510,4,3347265,2009-12-11T08:36:03Z
122576159,33.6850845,-117.8222521,jumbanho,38487,5,12419412,2012-07-21T20:24:24Z
122577282,33.6543963,-117.8625069,Aaron Lidman,53073,6,12920856,2012-08-30T17:37:07Z
122577745,33.6815985,-117.8318069,jumbanho,38487,5,12419412,2012-07-21T20:24:24Z
122578287,33.6162269,-117.7381784,ediyes,1240849,4,31828540,2015-06-08T20:30:15Z
122578386,33.615361,-117.7389797,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:36:27Z
122578746,33.6518193,-117.8427119,Aaron Lidman,53073,6,16305053,2013-05-27T05:59:30Z
122579230,33.7711452,-117.6968915,AM909,82317,4,5267344,2010-07-20T05:59:00Z
122579442,33.6454543,-117.7375556,Apo42,25510,5,1859859,2009-07-18T06:07:34Z
122580594,33.7701841,-117.8023249,Chris Bell in California,194231,3,4991590,2010-06-14T21:09:29Z
122580997,33.7714,-117.7991111,Chris Bell in California,194231,3,4991590,2010-06-14T21:09:15Z
122581424,33.787885,-117.8795741,ponzu,101657,5,7450941,2011-03-03T23:50:04Z
122581492,33.7878901,-117.878542,The Temecula Mapper,313196,6,12494892,2012-07-26T07:57:06Z
122582032,33.6135455,-117.7354864,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:37:08Z
122582068,33.6120658,-117.7351774,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:37:09Z
122582551,33.6744169,-117.829472,jazztunes,581419,6,13146907,2012-09-17T17:58:21Z
122583096,33.7282552,-117.8170587,Chris Bell in California,194231,3,5179433,2010-07-10T06:02:43Z
122583164,33.6311131,-117.837492,rkachelriess,413047,7,24865442,2014-08-19T17:32:13Z
122584338,33.6253244,-117.7400011,woodpeck_fixbot,147510,3,3347265,2009-12-11T08:37:25Z
122584560,33.646701,-117.8453514,Aaron Lidman,53073,6,16305053,2013-05-27T05:59:31Z
122585554,33.6819292,-117.7840899,SJFriedl,2709708,4,37065369,2016-02-07T18:38:06Z
122585843,33.6840057,-117.8562799,jerjozwik,36489,6,12391867,2012-07-20T21:06:54Z
122586091,33.7593977,-117.7803125,Data411,415250,3,15976869,2013-05-04T20:45:18Z
122586653,33.6754287,-117.8284694,jumbanho,38487,5,12418266,2012-07-21T19:20:11Z
122586893,33.6513902,-117.6737905,ponzu,101657,5,8117758,2011-05-12T00:40:22Z
122587131,33.615511,-117.7099458,Chris Bell in California,194231,5,12359657,2012-07-20T03:41:48Z
122587352,33.6855408,-117.8205682,jumbanho,38487,5,12419412,2012-07-21T20:24:25Z
122587419,33.7481445,-117.8316487,steverumizen,2655992,10,38326980,2016-04-05T18:16:23Z
122588426,33.6802306,-117.7897901,jumbanho,38487,5,12423847,2012-07-22T01:22:39Z
