id,key,value,type
5187203,reviewed,no,tiger
5187488,name,Bridgeport Lane,regular
5187488,lanes,2,regular
5187488,highway,tertiary,regular
5187488,surface,asphalt,regular
5187488,cfcc,A41,tiger
5187488,county,"Baker, OR",tiger
5187488,reviewed,no,tiger
5187488,name_base,Bridgeport,tiger
5187488,name_type,Ln,tiger
5187687,access,private,regular
5187687,highway,service,regular
5187687,created_by,JOSM,regular
5187687,cfcc,A74,tiger
5187687,tlid,137657569,tiger
5187687,county,"Baker, OR",tiger
5187687,source,tiger_import_dch_v0.6_20070808,tiger
5187687,reviewed,no,tiger
5188010,name,National Forest Development 6010 Road,regular
5188010,highway,residential,regular
5188010,created_by,JOSM,regular
5188010,cfcc,A41,tiger
5188010,tlid,137645745:137645748:137660830:137657791:137660760:137657792:137660421:137647547:137647549:137647550:137647603:137660429:137660753:137647610,tiger
5188010,county,"Baker, OR",tiger
5188010,source,tiger_import_dch_v0.6_20070808,tiger
5188010,reviewed,no,tiger
5188010,name_base,NFD 6010,tiger
5188010,name_type,Rd,tiger
5188010,separated,no,tiger
5188351,highway,residential,regular
5188351,created_by,JOSM,regular
5188351,cfcc,A41,tiger
5188351,tlid,137640819:137640783:137640675:137653935,tiger
5188351,county,"Baker, OR",tiger
5188351,source,tiger_import_dch_v0.6_20070808,tiger
5188351,reviewed,no,tiger
5188351,separated,no,tiger
5188626,name,National Forest Development 1165 Road,regular
5188626,highway,residential,regular
5188626,created_by,JOSM,regular
5188626,cfcc,A41,tiger
5188626,tlid,137660589:137655566:137655567,tiger
5188626,county,"Baker, OR",tiger
5188626,source,tiger_import_dch_v0.6_20070808,tiger
5188626,reviewed,no,tiger
5188626,name_base,NFD 1165,tiger
5188626,name_type,Rd,tiger
5188626,separated,no,tiger
5188803,name,Lower Powder Road,regular
5188803,highway,residential,regular
5188803,created_by,JOSM,regular
5188803,cfcc,A41,tiger
5188803,tlid,137660641:137640351:137640504:137640353:137657913,tiger
5188803,county,"Baker, OR",tiger
5188803,source,tiger_import_dch_v0.6_20070808,tiger
5188803,reviewed,no,tiger
5188803,name_base,Lower Powder,tiger
5188803,name_type,Rd,tiger
5188803,separated,no,tiger
5188975,highway,residential,regular
5188975,created_by,JOSM,regular
5188975,cfcc,A41,tiger
5188975,tlid,137636891:137636893,tiger
5188975,county,"Baker, OR",tiger
5188975,source,tiger_import_dch_v0.6_20070808,tiger
5188975,reviewed,no,tiger
5188975,separated,no,tiger
5189199,highway,track,regular
5189199,cfcc,A41,tiger
5189199,county,"Baker, OR",tiger
5189199,reviewed,no,tiger
5189530,highway,residential,regular
5189530,created_by,JOSM,regular
5189530,cfcc,A41,tiger
5189530,tlid,137649202:137649189,tiger
5189530,county,"Baker, OR",tiger
5189530,source,tiger_import_dch_v0.6_20070808,tiger
5189530,reviewed,no,tiger
5189530,separated,no,tiger
5189684,highway,residential,regular
5189684,created_by,JOSM,regular
5189684,cfcc,A41,tiger
5189684,tlid,137631576:137631578:137631579,tiger
5189684,county,"Baker, OR",tiger
5189684,source,tiger_import_dch_v0.6_20070808,tiger
5189684,reviewed,no,tiger
5189684,separated,no,tiger
5189831,name,Jacobs Road,regular
5189831,highway,residential,regular
5189831,created_by,JOSM,regular
5189831,cfcc,A41,tiger
5189831,tlid,137640620,tiger
5189831,county,"Baker, OR",tiger
5189831,source,tiger_import_dch_v0.6_20070808,tiger
5189831,reviewed,no,tiger
5189831,name_base,Jacobs,tiger
5189831,name_type,Rd,tiger
5189831,separated,no,tiger
5190017,highway,track,regular
5190017,created_by,JOSM,regular
5190017,cfcc,A51,tiger
5190017,tlid,137631720,tiger
5190017,county,"Baker, OR",tiger
5190017,source,tiger_import_dch_v0.6_20070808,tiger
5190017,reviewed,no,tiger
5190017,separated,no,tiger
5190233,highway,residential,regular
5190233,created_by,JOSM,regular
5190233,cfcc,A41,tiger
5190233,tlid,137651806,tiger
5190233,county,"Baker, OR",tiger
5190233,source,tiger_import_dch_v0.6_20070808,tiger
5190233,reviewed,no,tiger
5190233,separated,no,tiger
5217083,ref,44440,regular
5217083,highway,tertiary,regular
5217083,ref,rsd_cr,source
5709533,name,National Forest Development Road 6512,regular
5709533,highway,residential,regular
5709533,cfcc,A41,tiger
5709533,tlid,170400054:170428817:170428818:170428819:170400125:170400095,tiger
5709533,county,"Umatilla, OR",tiger
5709533,source,tiger_import_dch_v0.6_20070808,tiger
5709533,reviewed,no,tiger
5709533,name_base,Natl Forest Develop Road 6512,tiger
5709533,separated,no,tiger
5800065,name,Three Pond Drive,regular
5800065,highway,residential,regular
5800065,cfcc,A41,tiger
5800065,tlid,153535077:153551226:153551227,tiger
5800065,county,"Ravalli, MT",tiger
5800065,source,tiger_import_dch_v0.6_20070813,tiger
5800065,reviewed,no,tiger
5800065,zip_left,59840,tiger
5800065,name_base,Three Pond,tiger
5800065,name_type,Dr,tiger
5800065,separated,no,tiger
5800065,zip_right,59840,tiger
5807500,name,Durant-Canyon Road,regular
5807500,source,Bing,regular
5807500,highway,unclassified,regular
5807500,cfcc,A41,tiger
5807500,tlid,153585452:153585314,tiger
5807500,county,"Silver Bow, MT",tiger
5807500,source,tiger_import_dch_v0.6_20070813,tiger
5807500,name_base,Durant-Canyon,tiger
5807500,name_type,Rd,tiger
5807500,separated,no,tiger
5852517,highway,residential,regular
5852517,cfcc,A41,tiger
5852517,tlid,150845190,tiger
5852517,county,"Clallam, WA",tiger
5852517,source,tiger_import_dch_v0.6_20070830,tiger
5852517,reviewed,no,tiger
5852517,separated,no,tiger
5852517,upload_uuid,bulk_upload.pl-42cf6b05-69da-4fd3-8a2c-0181d8bfbd31,tiger
5861346,name,Country View Drive,regular
5861346,highway,residential,regular
5861346,cfcc,A41,tiger
5861346,county,"Clallam, WA",tiger
5861346,reviewed,no,tiger
5861346,name_base,Country View,tiger
5861346,name_type,Dr,tiger
5943741,highway,track,regular
5943741,cfcc,A41,tiger
5943741,tlid,195408061:195408062,tiger
5943741,county,"San Diego, CA",tiger
5943741,source,tiger_import_dch_v0.6_20070809,tiger
5943741,reviewed,no,tiger
5943741,separated,no,tiger
5943741,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5943753,access,private,regular
5943753,highway,service,regular
5943753,cfcc,A74,tiger
5943753,tlid,195688600,tiger
5943753,county,"San Diego, CA",tiger
5943753,source,tiger_import_dch_v0.6_20070809,tiger
5943753,reviewed,no,tiger
5943753,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5943778,access,private,regular
5943778,highway,service,regular
5943778,cfcc,A74,tiger
5943778,tlid,195726751,tiger
5943778,county,"San Diego, CA",tiger
5943778,source,tiger_import_dch_v0.6_20070809,tiger
5943778,reviewed,no,tiger
5943778,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5962308,name,Arviso Lane,regular
5962308,highway,residential,regular
5962308,cfcc,A41,tiger
5962308,tlid,195744121:195744122,tiger
5962308,county,"San Diego, CA",tiger
5962308,source,tiger_import_dch_v0.6_20070809,tiger
5962308,reviewed,no,tiger
5962308,name_base,Arviso,tiger
5962308,name_type,Ln,tiger
5962308,separated,no,tiger
5965774,name,Emden Road,regular
5965774,highway,residential,regular
5965774,cfcc,A41,tiger
5965774,tlid,195314876:195314877:195314904,tiger
5965774,county,"San Diego, CA",tiger
5965774,source,tiger_import_dch_v0.6_20070809,tiger
5965774,reviewed,no,tiger
5965774,zip_left,92129,tiger
5965774,name_base,Emden,tiger
5965774,name_type,Rd,tiger
5965774,separated,no,tiger
5965774,zip_right,92129,tiger
5980523,name,G Street,regular
5980523,highway,residential,regular
5980523,cfcc,A41,tiger
5980523,tlid,195282981:195282986:195282988,tiger
5980523,county,"San Diego, CA",tiger
5980523,source,tiger_import_dch_v0.6_20070809,tiger
5980523,reviewed,no,tiger
5980523,name_base,G,tiger
5980523,name_type,St,tiger
5980523,separated,no,tiger
5992312,name,Janet Kay Way,regular
5992312,highway,residential,regular
5992312,cfcc,A41,tiger
5992312,tlid,195332783,tiger
5992312,county,"San Diego, CA",tiger
5992312,source,tiger_import_dch_v0.6_20070809,tiger
5992312,reviewed,no,tiger
5992312,zip_left,92021,tiger
5992312,name_base,Janet Kay,tiger
5992312,name_type,Way,tiger
5992312,separated,no,tiger
5992312,zip_right,92021,tiger
5992312,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5994075,name,Rockin Oaks Way,regular
5994075,highway,residential,regular
5994075,cfcc,A41,tiger
5994075,tlid,195385330,tiger
5994075,county,"San Diego, CA",tiger
5994075,source,tiger_import_dch_v0.6_20070809,tiger
5994075,reviewed,no,tiger
5994075,zip_left,92065,tiger
5994075,name_base,Rockin Oaks,tiger
5994075,name_type,Way,tiger
5994075,separated,no,tiger
5994075,zip_right,92065,tiger
5994075,upload_uuid,bulk_upload.pl-5dac241b-d144-4c9c-9e26-b4dec4590a61,tiger
5994791,name,East G Road,regular
5994791,name_1,G East Road,regular
5994791,highway,residential,regular
5994791,cfcc,A41,tiger
5994791,tlid,195710004:195710005,tiger
5994791,county,"San Diego, CA",tiger
5994791,source,tiger_import_dch_v0.6_20070809,tiger
5994791,reviewed,no,tiger
5994791,name_base,G,tiger
5994791,name_type,Rd,tiger
5994791,separated,no,tiger
5994791,name_base_1,G E,tiger
5994791,name_type_1,Rd,tiger
5994791,name_direction_prefix,E,tiger
5998865,highway,service,regular
5998865,cfcc,A41,tiger
5998865,county,"Baltimore-City, MD",tiger
6003210,name,Little Tecate Road,regular
6003210,highway,residential,regular
6003210,cfcc,A41,tiger
6003210,tlid,195695215:195464450:195464456:195366815:195366557,tiger
6003210,county,"San Diego, CA",tiger
6003210,source,tiger_import_dch_v0.6_20070809,tiger
6003210,reviewed,no,tiger
6003210,name_base,Little Tecate,tiger
6003210,name_type,Rd,tiger
6003210,separated,no,tiger
6005799,name,Alpine Avenue,regular
6005799,highway,residential,regular
6005799,cfcc,A41,tiger
6005799,tlid,195360223:195742248:195742249,tiger
6005799,county,"San Diego, CA",tiger
6005799,source,tiger_import_dch_v0.6_20070809,tiger
6005799,reviewed,no,tiger
6005799,zip_left,91941,tiger
6005799,name_base,Alpine,tiger
6005799,name_type,Ave,tiger
6005799,separated,no,tiger
